Prot_A,Prot_B,Interaction_score,Disease
CPX-467,GSK3B,0.758,Alzheimer's Disease
CPX-467,CPX-2494,0.781,Alzheimer's Disease
CPX-467,HDAC6,0.782,Alzheimer's Disease
CPX-467,CPX-1164,0.79,Alzheimer's Disease
CPX-467,CPX-3288,0.803,Alzheimer's Disease
CPX-467,AKT1,0.873,Alzheimer's Disease
CPX-467,CPX-2476,0.892,Alzheimer's Disease
CPX-467,CPX-943,0.91,Alzheimer's Disease
CPX-467,SIRT2,0.956,Alzheimer's Disease
CPX-467,EP300,0.972,Alzheimer's Disease
CPX-467,NMNAT1,0.985,Alzheimer's Disease
CPX-467,CPX-6093,0.999,Alzheimer's Disease
STX1B,GAK,0.405,Alzheimer's Disease
STX1B,HTT,0.413,Alzheimer's Disease
STX1B,CAMK2A,0.446,Alzheimer's Disease
STX1B,SNCA,0.451,Alzheimer's Disease
STX1B,SYP,0.453,Alzheimer's Disease
STX1B,CPX-285,0.489,Alzheimer's Disease
STX1B,ACMSD,0.518,Alzheimer's Disease
STX1B,CPX-4101,0.608,Alzheimer's Disease
STX1B,DNM1,0.628,Alzheimer's Disease
STX1B,SYN2,0.634,Alzheimer's Disease
STX1B,SV2A,0.667,Alzheimer's Disease
STX1B,MAPT,0.67,Alzheimer's Disease
STX1B,SYN1,0.719,Alzheimer's Disease
STX1B,NSF,0.854,Alzheimer's Disease
STX1B,SYT1,0.882,Alzheimer's Disease
STX1B,SNAP25,0.997,Alzheimer's Disease
STX1B,STXBP1,0.999,Alzheimer's Disease
MAPK1,CPX-2004,0.408,Alzheimer's Disease
MAPK1,TH,0.413,Alzheimer's Disease
MAPK1,LRRK2,0.418,Alzheimer's Disease
MAPK1,ANXA5,0.432,Alzheimer's Disease
MAPK1,PRKN,0.448,Alzheimer's Disease
MAPK1,CPX-2862,0.451,Alzheimer's Disease
MAPK1,BCHE,0.461,Alzheimer's Disease
MAPK1,PRKCE,0.461,Alzheimer's Disease
MAPK1,ADAM17,0.465,Alzheimer's Disease
MAPK1,HNRNPA1,0.481,Alzheimer's Disease
MAPK1,FKBP5,0.489,Alzheimer's Disease
MAPK1,GSK3A,0.497,Alzheimer's Disease
MAPK1,CPX-5824,0.506,Alzheimer's Disease
MAPK1,PTK2B,0.508,Alzheimer's Disease
MAPK1,DNM1,0.516,Alzheimer's Disease
MAPK1,FYN,0.526,Alzheimer's Disease
MAPK1,CIB1,0.549,Alzheimer's Disease
MAPK1,CPX-1001,0.553,Alzheimer's Disease
MAPK1,ALB,0.563,Alzheimer's Disease
MAPK1,SQSTM1,0.564,Alzheimer's Disease
MAPK1,CPX-2674,0.569,Alzheimer's Disease
MAPK1,CPX-5149,0.583,Alzheimer's Disease
MAPK1,NGF,0.585,Alzheimer's Disease
MAPK1,CLTC,0.606,Alzheimer's Disease
MAPK1,EGFR,0.612,Alzheimer's Disease
MAPK1,LCK,0.624,Alzheimer's Disease
MAPK1,CPX-6024,0.627,Alzheimer's Disease
MAPK1,SNCA,0.627,Alzheimer's Disease
MAPK1,HDAC6,0.642,Alzheimer's Disease
MAPK1,DNM1L,0.652,Alzheimer's Disease
MAPK1,IL1B,0.653,Alzheimer's Disease
MAPK1,PIK3R1,0.659,Alzheimer's Disease
MAPK1,MAPK9,0.671,Alzheimer's Disease
MAPK1,PLA2G6,0.673,Alzheimer's Disease
MAPK1,CDK1,0.693,Alzheimer's Disease
MAPK1,CPX-2476,0.701,Alzheimer's Disease
MAPK1,CPX-6232,0.716,Alzheimer's Disease
MAPK1,ABL1,0.724,Alzheimer's Disease
MAPK1,GSK3B,0.742,Alzheimer's Disease
MAPK1,MAPK8,0.747,Alzheimer's Disease
MAPK1,CPX-2805,0.757,Alzheimer's Disease
MAPK1,CPX-943,0.763,Alzheimer's Disease
MAPK1,CPX-1164,0.767,Alzheimer's Disease
MAPK1,CREBBP,0.803,Alzheimer's Disease
MAPK1,CPX-3285,0.813,Alzheimer's Disease
MAPK1,EP300,0.818,Alzheimer's Disease
MAPK1,L1CAM,0.819,Alzheimer's Disease
MAPK1,CPX-1062,0.827,Alzheimer's Disease
MAPK1,CPX-1907,0.839,Alzheimer's Disease
MAPK1,PRKCG,0.911,Alzheimer's Disease
MAPK1,PRKCZ,0.919,Alzheimer's Disease
MAPK1,RPS6KB1,0.927,Alzheimer's Disease
MAPK1,PRKCB,0.928,Alzheimer's Disease
MAPK1,PRKACA,0.929,Alzheimer's Disease
MAPK1,PRKACB,0.929,Alzheimer's Disease
MAPK1,PRKCA,0.931,Alzheimer's Disease
MAPK1,SRC,0.932,Alzheimer's Disease
MAPK1,CPX-623,0.936,Alzheimer's Disease
MAPK1,CPX-3288,0.941,Alzheimer's Disease
MAPK1,MAPT,0.952,Alzheimer's Disease
MAPK1,MBP,0.953,Alzheimer's Disease
MAPK1,CPX-2494,0.962,Alzheimer's Disease
MAPK1,CPX-1981,0.969,Alzheimer's Disease
MAPK1,CPX-2236,0.974,Alzheimer's Disease
MAPK1,CPX-5156,0.987,Alzheimer's Disease
MAPK1,AKT1,0.988,Alzheimer's Disease
MAPK1,MAPK3,0.994,Alzheimer's Disease
MAPK1,MAPK14,0.995,Alzheimer's Disease
MAPK1,CPX-6093,0.998,Alzheimer's Disease
AURKA,SRPK2,0.419,Alzheimer's Disease
AURKA,CPX-6030,0.426,Alzheimer's Disease
AURKA,CPX-3285,0.429,Alzheimer's Disease
AURKA,MAPT,0.438,Alzheimer's Disease
AURKA,MAPK9,0.474,Alzheimer's Disease
AURKA,CPX-1001,0.474,Alzheimer's Disease
AURKA,MAPK8,0.475,Alzheimer's Disease
AURKA,CPX-1164,0.477,Alzheimer's Disease
AURKA,EGFR,0.481,Alzheimer's Disease
AURKA,ABL1,0.484,Alzheimer's Disease
AURKA,TUBB,0.487,Alzheimer's Disease
AURKA,OPTN,0.499,Alzheimer's Disease
AURKA,CPX-2805,0.509,Alzheimer's Disease
AURKA,CPX-2476,0.514,Alzheimer's Disease
AURKA,CPX-3288,0.578,Alzheimer's Disease
AURKA,MAPRE2,0.58,Alzheimer's Disease
AURKA,PPP1CB,0.595,Alzheimer's Disease
AURKA,AKT1,0.624,Alzheimer's Disease
AURKA,CPX-1981,0.625,Alzheimer's Disease
AURKA,EP300,0.652,Alzheimer's Disease
AURKA,CPX-5156,0.769,Alzheimer's Disease
AURKA,GSK3B,0.769,Alzheimer's Disease
AURKA,CDK2,0.886,Alzheimer's Disease
AURKA,HDAC6,0.944,Alzheimer's Disease
AURKA,CPX-6232,0.945,Alzheimer's Disease
AURKA,CPX-2004,0.949,Alzheimer's Disease
AURKA,CDK1,0.951,Alzheimer's Disease
AURKA,CPX-6093,0.998,Alzheimer's Disease
TUBB1,WWOX,0.401,Alzheimer's Disease
TUBB1,TUBB4A,0.411,Alzheimer's Disease
TUBB1,TUBB6,0.413,Alzheimer's Disease
TUBB1,TUBB4B,0.466,Alzheimer's Disease
TUBB1,HSPA5,0.485,Alzheimer's Disease
TUBB1,TUBB2A,0.488,Alzheimer's Disease
TUBB1,CPX-329,0.525,Alzheimer's Disease
TUBB1,TUBB2B,0.527,Alzheimer's Disease
TUBB1,TUBB3,0.531,Alzheimer's Disease
TUBB1,CPX-1164,0.591,Alzheimer's Disease
TUBB1,CPX-6030,0.61,Alzheimer's Disease
TUBB1,MAPT,0.924,Alzheimer's Disease
TUBB1,TUBA8,0.963,Alzheimer's Disease
TUBB1,TUBA1A,0.963,Alzheimer's Disease
TUBB1,TUBA4A,0.964,Alzheimer's Disease
EEF1A2,SYN1,0.403,Alzheimer's Disease
EEF1A2,TUBA1A,0.408,Alzheimer's Disease
EEF1A2,CPX-577,0.417,Alzheimer's Disease
EEF1A2,SRC,0.424,Alzheimer's Disease
EEF1A2,TUBB,0.427,Alzheimer's Disease
EEF1A2,CPX-6129,0.429,Alzheimer's Disease
EEF1A2,CPX-2004,0.449,Alzheimer's Disease
EEF1A2,MAG,0.457,Alzheimer's Disease
EEF1A2,TUBA8,0.464,Alzheimer's Disease
EEF1A2,CPX-5824,0.467,Alzheimer's Disease
EEF1A2,TUBA4A,0.468,Alzheimer's Disease
EEF1A2,CPX-6093,0.517,Alzheimer's Disease
EEF1A2,LRRK2,0.531,Alzheimer's Disease
EEF1A2,CPX-3285,0.576,Alzheimer's Disease
EEF1A2,CPX-3288,0.579,Alzheimer's Disease
EEF1A2,ACTG1,0.581,Alzheimer's Disease
EEF1A2,MAPT,0.618,Alzheimer's Disease
EEF1A2,ALB,0.63,Alzheimer's Disease
EEF1A2,CPX-1001,0.677,Alzheimer's Disease
EEF1A2,CPX-2476,0.731,Alzheimer's Disease
EEF1A2,CPX-1164,0.742,Alzheimer's Disease
STUB1,CPX-623,0.407,Alzheimer's Disease
STUB1,CPX-943,0.41,Alzheimer's Disease
STUB1,CPX-1981,0.416,Alzheimer's Disease
STUB1,EP300,0.419,Alzheimer's Disease
STUB1,CPX-2349,0.422,Alzheimer's Disease
STUB1,PINK1,0.438,Alzheimer's Disease
STUB1,BACE1,0.442,Alzheimer's Disease
STUB1,MAPK3,0.46,Alzheimer's Disease
STUB1,PRKACA,0.501,Alzheimer's Disease
STUB1,CSNK1A1,0.506,Alzheimer's Disease
STUB1,FYN,0.515,Alzheimer's Disease
STUB1,CPX-2176,0.516,Alzheimer's Disease
STUB1,CPX-1164,0.565,Alzheimer's Disease
STUB1,HSPA5,0.618,Alzheimer's Disease
STUB1,SGK1,0.62,Alzheimer's Disease
STUB1,CPX-2476,0.623,Alzheimer's Disease
STUB1,PRKCZ,0.625,Alzheimer's Disease
STUB1,SQSTM1,0.633,Alzheimer's Disease
STUB1,SNCAIP,0.651,Alzheimer's Disease
STUB1,CPX-6129,0.677,Alzheimer's Disease
STUB1,CPX-2897,0.681,Alzheimer's Disease
STUB1,CPX-1062,0.693,Alzheimer's Disease
STUB1,EPM2A,0.707,Alzheimer's Disease
STUB1,CDK5,0.73,Alzheimer's Disease
STUB1,HTT,0.738,Alzheimer's Disease
STUB1,CPX-6030,0.747,Alzheimer's Disease
STUB1,ABL1,0.775,Alzheimer's Disease
STUB1,GSK3B,0.803,Alzheimer's Disease
STUB1,HSPB1,0.804,Alzheimer's Disease
STUB1,CPX-137,0.812,Alzheimer's Disease
STUB1,PARK7,0.82,Alzheimer's Disease
STUB1,HDAC6,0.831,Alzheimer's Disease
STUB1,AKT1,0.861,Alzheimer's Disease
STUB1,LRRK2,0.872,Alzheimer's Disease
STUB1,SNCA,0.873,Alzheimer's Disease
STUB1,EGFR,0.93,Alzheimer's Disease
STUB1,CPX-5156,0.936,Alzheimer's Disease
STUB1,MAPT,0.944,Alzheimer's Disease
STUB1,PRKN,0.946,Alzheimer's Disease
STUB1,CPX-6093,0.968,Alzheimer's Disease
STUB1,ATXN3,0.983,Alzheimer's Disease
GSK3A,PIN1,0.4,Alzheimer's Disease
GSK3A,HSPB1,0.411,Alzheimer's Disease
GSK3A,BACE1,0.416,Alzheimer's Disease
GSK3A,CPX-2176,0.418,Alzheimer's Disease
GSK3A,CPX-623,0.425,Alzheimer's Disease
GSK3A,MAPK3,0.43,Alzheimer's Disease
GSK3A,CPX-1981,0.44,Alzheimer's Disease
GSK3A,PRKCG,0.453,Alzheimer's Disease
GSK3A,SRC,0.467,Alzheimer's Disease
GSK3A,CPX-2236,0.467,Alzheimer's Disease
GSK3A,MARK2,0.476,Alzheimer's Disease
GSK3A,CPX-3285,0.485,Alzheimer's Disease
GSK3A,CPX-3288,0.49,Alzheimer's Disease
GSK3A,CPX-6093,0.493,Alzheimer's Disease
GSK3A,EPM2A,0.495,Alzheimer's Disease
GSK3A,FYN,0.511,Alzheimer's Disease
GSK3A,CPX-4231,0.538,Alzheimer's Disease
GSK3A,YWHAG,0.555,Alzheimer's Disease
GSK3A,CPX-2476,0.572,Alzheimer's Disease
GSK3A,PRKACB,0.612,Alzheimer's Disease
GSK3A,CPX-1164,0.625,Alzheimer's Disease
GSK3A,CPX-943,0.633,Alzheimer's Disease
GSK3A,CPX-2494,0.663,Alzheimer's Disease
GSK3A,PRKACA,0.757,Alzheimer's Disease
GSK3A,MAPT,0.911,Alzheimer's Disease
GSK3A,CPX-1062,0.927,Alzheimer's Disease
GSK3A,GSK3B,0.98,Alzheimer's Disease
GSK3A,CSNK1A1,0.991,Alzheimer's Disease
GSK3A,AKT1,0.993,Alzheimer's Disease
GSK3A,CPX-107,0.999,Alzheimer's Disease
WNT3,CPX-2476,0.425,Alzheimer's Disease
WNT3,AKT1,0.429,Alzheimer's Disease
WNT3,SNCA,0.43,Alzheimer's Disease
WNT3,MAPK3,0.499,Alzheimer's Disease
WNT3,CPX-809,0.678,Alzheimer's Disease
WNT3,MAPT,0.679,Alzheimer's Disease
WNT3,LRRK2,0.766,Alzheimer's Disease
WNT3,CPX-107,0.767,Alzheimer's Disease
WNT3,GSK3B,0.893,Alzheimer's Disease
RPS6KB1,CPX-2862,0.414,Alzheimer's Disease
RPS6KB1,DYRK1A,0.421,Alzheimer's Disease
RPS6KB1,CPX-2349,0.425,Alzheimer's Disease
RPS6KB1,CPX-6232,0.432,Alzheimer's Disease
RPS6KB1,CPX-6024,0.432,Alzheimer's Disease
RPS6KB1,CPX-1062,0.446,Alzheimer's Disease
RPS6KB1,CPX-2004,0.45,Alzheimer's Disease
RPS6KB1,PRKCG,0.459,Alzheimer's Disease
RPS6KB1,FYN,0.464,Alzheimer's Disease
RPS6KB1,CPX-1001,0.471,Alzheimer's Disease
RPS6KB1,HSPA5,0.479,Alzheimer's Disease
RPS6KB1,CPX-1907,0.48,Alzheimer's Disease
RPS6KB1,EP300,0.483,Alzheimer's Disease
RPS6KB1,SRC,0.502,Alzheimer's Disease
RPS6KB1,MAP1B,0.506,Alzheimer's Disease
RPS6KB1,IL1B,0.512,Alzheimer's Disease
RPS6KB1,MAPK8,0.517,Alzheimer's Disease
RPS6KB1,PRKAA2,0.518,Alzheimer's Disease
RPS6KB1,CPX-8767,0.537,Alzheimer's Disease
RPS6KB1,CPX-2805,0.555,Alzheimer's Disease
RPS6KB1,HTT,0.561,Alzheimer's Disease
RPS6KB1,PIK3R1,0.584,Alzheimer's Disease
RPS6KB1,GSK3B,0.586,Alzheimer's Disease
RPS6KB1,ALB,0.592,Alzheimer's Disease
RPS6KB1,CPX-623,0.597,Alzheimer's Disease
RPS6KB1,CPX-2494,0.597,Alzheimer's Disease
RPS6KB1,ANXA5,0.597,Alzheimer's Disease
RPS6KB1,ABL1,0.606,Alzheimer's Disease
RPS6KB1,MAPT,0.637,Alzheimer's Disease
RPS6KB1,CPX-1981,0.679,Alzheimer's Disease
RPS6KB1,CPX-6093,0.7,Alzheimer's Disease
RPS6KB1,CPX-2476,0.713,Alzheimer's Disease
RPS6KB1,CPX-1164,0.74,Alzheimer's Disease
RPS6KB1,CPX-3285,0.76,Alzheimer's Disease
RPS6KB1,SQSTM1,0.834,Alzheimer's Disease
RPS6KB1,CPX-3288,0.837,Alzheimer's Disease
RPS6KB1,CPX-943,0.876,Alzheimer's Disease
RPS6KB1,TBK1,0.917,Alzheimer's Disease
RPS6KB1,PRKACB,0.932,Alzheimer's Disease
RPS6KB1,PRKACA,0.934,Alzheimer's Disease
RPS6KB1,MAPK3,0.935,Alzheimer's Disease
RPS6KB1,CPX-5156,0.955,Alzheimer's Disease
RPS6KB1,CPX-2236,0.979,Alzheimer's Disease
RPS6KB1,AKT1,0.982,Alzheimer's Disease
CPX-6024,UBQLN4,0.408,Alzheimer's Disease
CPX-6024,CAMK2B,0.416,Alzheimer's Disease
CPX-6024,MME,0.416,Alzheimer's Disease
CPX-6024,HSPA5,0.419,Alzheimer's Disease
CPX-6024,ABL1,0.423,Alzheimer's Disease
CPX-6024,ACHE,0.423,Alzheimer's Disease
CPX-6024,CPX-2897,0.424,Alzheimer's Disease
CPX-6024,SNCA,0.431,Alzheimer's Disease
CPX-6024,CAMK2A,0.441,Alzheimer's Disease
CPX-6024,CPX-1001,0.446,Alzheimer's Disease
CPX-6024,PRKACA,0.447,Alzheimer's Disease
CPX-6024,CHI3L1,0.448,Alzheimer's Disease
CPX-6024,PRKACB,0.448,Alzheimer's Disease
CPX-6024,EP300,0.451,Alzheimer's Disease
CPX-6024,FYN,0.458,Alzheimer's Disease
CPX-6024,UCHL1,0.463,Alzheimer's Disease
CPX-6024,MAPT,0.473,Alzheimer's Disease
CPX-6024,GSK3B,0.492,Alzheimer's Disease
CPX-6024,ADAM17,0.507,Alzheimer's Disease
CPX-6024,CPX-3285,0.507,Alzheimer's Disease
CPX-6024,CPX-3288,0.508,Alzheimer's Disease
CPX-6024,CPX-1062,0.55,Alzheimer's Disease
CPX-6024,MAPK9,0.55,Alzheimer's Disease
CPX-6024,NEFL,0.551,Alzheimer's Disease
CPX-6024,CPX-5156,0.552,Alzheimer's Disease
CPX-6024,CPX-2494,0.563,Alzheimer's Disease
CPX-6024,GFAP,0.566,Alzheimer's Disease
CPX-6024,TBK1,0.569,Alzheimer's Disease
CPX-6024,CPX-5381,0.603,Alzheimer's Disease
CPX-6024,SRC,0.607,Alzheimer's Disease
CPX-6024,NGF,0.607,Alzheimer's Disease
CPX-6024,CPX-1907,0.626,Alzheimer's Disease
CPX-6024,CPX-6232,0.641,Alzheimer's Disease
CPX-6024,MAPK8,0.658,Alzheimer's Disease
CPX-6024,MBP,0.667,Alzheimer's Disease
CPX-6024,B2M,0.688,Alzheimer's Disease
CPX-6024,TREM2,0.705,Alzheimer's Disease
CPX-6024,ANXA5,0.716,Alzheimer's Disease
CPX-6024,LCK,0.749,Alzheimer's Disease
CPX-6024,MAPK14,0.769,Alzheimer's Disease
CPX-6024,CPX-2476,0.794,Alzheimer's Disease
CPX-6024,CPX-1981,0.795,Alzheimer's Disease
CPX-6024,CPX-1164,0.795,Alzheimer's Disease
CPX-6024,CPX-943,0.813,Alzheimer's Disease
CPX-6024,AKT1,0.817,Alzheimer's Disease
CPX-6024,CPX-6093,0.834,Alzheimer's Disease
CPX-6024,APOE,0.838,Alzheimer's Disease
CPX-6024,MAPK3,0.846,Alzheimer's Disease
CPX-6024,ALB,0.866,Alzheimer's Disease
CPX-6024,EGFR,0.876,Alzheimer's Disease
CPX-6024,CPX-4082,0.893,Alzheimer's Disease
CPX-6024,CPX-623,0.983,Alzheimer's Disease
CPX-6024,CPX-2805,0.991,Alzheimer's Disease
CPX-6024,IL1B,0.998,Alzheimer's Disease
MAPK14,HSPA5,0.402,Alzheimer's Disease
MAPK14,NGF,0.408,Alzheimer's Disease
MAPK14,HNRNPA1,0.41,Alzheimer's Disease
MAPK14,MAPT,0.444,Alzheimer's Disease
MAPK14,ANXA5,0.447,Alzheimer's Disease
MAPK14,CPX-6232,0.452,Alzheimer's Disease
MAPK14,ALB,0.472,Alzheimer's Disease
MAPK14,CPX-1001,0.478,Alzheimer's Disease
MAPK14,CREBBP,0.493,Alzheimer's Disease
MAPK14,CPX-130,0.504,Alzheimer's Disease
MAPK14,PRKCA,0.517,Alzheimer's Disease
MAPK14,LRP8,0.526,Alzheimer's Disease
MAPK14,APOE,0.541,Alzheimer's Disease
MAPK14,CDK2,0.543,Alzheimer's Disease
MAPK14,SGK1,0.546,Alzheimer's Disease
MAPK14,BACE1,0.551,Alzheimer's Disease
MAPK14,CDK1,0.552,Alzheimer's Disease
MAPK14,CPX-3288,0.558,Alzheimer's Disease
MAPK14,CPX-4082,0.562,Alzheimer's Disease
MAPK14,CPX-1164,0.573,Alzheimer's Disease
MAPK14,CPX-2897,0.584,Alzheimer's Disease
MAPK14,CPX-2476,0.589,Alzheimer's Disease
MAPK14,CPX-3285,0.615,Alzheimer's Disease
MAPK14,GSK3B,0.626,Alzheimer's Disease
MAPK14,CPX-1907,0.641,Alzheimer's Disease
MAPK14,SQSTM1,0.672,Alzheimer's Disease
MAPK14,CPX-1981,0.701,Alzheimer's Disease
MAPK14,CPX-2494,0.706,Alzheimer's Disease
MAPK14,EP300,0.741,Alzheimer's Disease
MAPK14,FYN,0.749,Alzheimer's Disease
MAPK14,CPX-943,0.757,Alzheimer's Disease
MAPK14,EGFR,0.799,Alzheimer's Disease
MAPK14,SRC,0.818,Alzheimer's Disease
MAPK14,MBP,0.82,Alzheimer's Disease
MAPK14,ADAM17,0.82,Alzheimer's Disease
MAPK14,CPX-2805,0.839,Alzheimer's Disease
MAPK14,CPX-623,0.848,Alzheimer's Disease
MAPK14,NEFL,0.91,Alzheimer's Disease
MAPK14,HSPB1,0.91,Alzheimer's Disease
MAPK14,NEFH,0.912,Alzheimer's Disease
MAPK14,MAPK9,0.942,Alzheimer's Disease
MAPK14,CPX-5156,0.954,Alzheimer's Disease
MAPK14,MAPK8,0.955,Alzheimer's Disease
MAPK14,MAPK3,0.989,Alzheimer's Disease
MAPK14,AKT1,0.99,Alzheimer's Disease
MAPK14,CPX-6093,0.994,Alzheimer's Disease
CPX-577,PARK7,0.461,Alzheimer's Disease
CPX-577,CPX-6151,0.572,Alzheimer's Disease
CPX-577,TARDBP,0.657,Alzheimer's Disease
CPX-577,MAPT,0.669,Alzheimer's Disease
CPX-577,PINK1,0.709,Alzheimer's Disease
CPX-577,CPX-6123,0.983,Alzheimer's Disease
CTSD,ANXA5,0.414,Alzheimer's Disease
CTSD,CPX-3288,0.419,Alzheimer's Disease
CTSD,CPX-4082,0.424,Alzheimer's Disease
CTSD,CPX-623,0.43,Alzheimer's Disease
CTSD,CPX-1907,0.432,Alzheimer's Disease
CTSD,BCHE,0.435,Alzheimer's Disease
CTSD,PINK1,0.437,Alzheimer's Disease
CTSD,GSTO1,0.446,Alzheimer's Disease
CTSD,HTT,0.446,Alzheimer's Disease
CTSD,MAP1B,0.461,Alzheimer's Disease
CTSD,TREM2,0.461,Alzheimer's Disease
CTSD,CPX-2805,0.467,Alzheimer's Disease
CTSD,EGFR,0.468,Alzheimer's Disease
CTSD,MBP,0.477,Alzheimer's Disease
CTSD,AKT1,0.482,Alzheimer's Disease
CTSD,CPX-6093,0.484,Alzheimer's Disease
CTSD,IL1B,0.486,Alzheimer's Disease
CTSD,CPX-5824,0.493,Alzheimer's Disease
CTSD,CDK5,0.496,Alzheimer's Disease
CTSD,LRRK2,0.496,Alzheimer's Disease
CTSD,CPX-4302,0.498,Alzheimer's Disease
CTSD,CPX-2176,0.499,Alzheimer's Disease
CTSD,HSPA5,0.507,Alzheimer's Disease
CTSD,TMEM106B,0.516,Alzheimer's Disease
CTSD,GAK,0.53,Alzheimer's Disease
CTSD,CPX-6151,0.537,Alzheimer's Disease
CTSD,ALB,0.547,Alzheimer's Disease
CTSD,NPC2,0.548,Alzheimer's Disease
CTSD,CPX-1164,0.557,Alzheimer's Disease
CTSD,MAPT,0.558,Alzheimer's Disease
CTSD,EP300,0.56,Alzheimer's Disease
CTSD,ATP13A2,0.574,Alzheimer's Disease
CTSD,CPX-2476,0.575,Alzheimer's Disease
CTSD,GSN,0.585,Alzheimer's Disease
CTSD,CPX-3285,0.618,Alzheimer's Disease
CTSD,SORL1,0.627,Alzheimer's Disease
CTSD,LGMN,0.644,Alzheimer's Disease
CTSD,HSPB1,0.65,Alzheimer's Disease
CTSD,CPX-6232,0.673,Alzheimer's Disease
CTSD,SQSTM1,0.684,Alzheimer's Disease
CTSD,CPX-7842,0.686,Alzheimer's Disease
CTSD,SNCA,0.711,Alzheimer's Disease
CTSD,CPX-1062,0.735,Alzheimer's Disease
CTSD,APOE,0.763,Alzheimer's Disease
CTSD,CPX-5156,0.793,Alzheimer's Disease
CTSD,IDE,0.809,Alzheimer's Disease
CTSD,CPX-943,0.846,Alzheimer's Disease
CTSD,CPX-1981,0.949,Alzheimer's Disease
APOA1,LCK,0.407,Alzheimer's Disease
APOA1,AKT1,0.418,Alzheimer's Disease
APOA1,CPX-1164,0.438,Alzheimer's Disease
APOA1,ITM2B,0.438,Alzheimer's Disease
APOA1,CREBBP,0.441,Alzheimer's Disease
APOA1,CPX-2476,0.46,Alzheimer's Disease
APOA1,EGFR,0.477,Alzheimer's Disease
APOA1,ACTG1,0.484,Alzheimer's Disease
APOA1,MAPT,0.509,Alzheimer's Disease
APOA1,MAPK3,0.52,Alzheimer's Disease
APOA1,P4HB,0.533,Alzheimer's Disease
APOA1,IAPP,0.534,Alzheimer's Disease
APOA1,IL1B,0.541,Alzheimer's Disease
APOA1,CPX-130,0.552,Alzheimer's Disease
APOA1,CPX-514,0.58,Alzheimer's Disease
APOA1,CPX-2805,0.581,Alzheimer's Disease
APOA1,CPX-623,0.608,Alzheimer's Disease
APOA1,LRP8,0.609,Alzheimer's Disease
APOA1,CPX-4310,0.618,Alzheimer's Disease
APOA1,CP,0.63,Alzheimer's Disease
APOA1,TREM2,0.645,Alzheimer's Disease
APOA1,VLDLR,0.835,Alzheimer's Disease
APOA1,CPX-6232,0.845,Alzheimer's Disease
APOA1,GSN,0.874,Alzheimer's Disease
APOA1,SNCA,0.883,Alzheimer's Disease
APOA1,CPX-943,0.906,Alzheimer's Disease
APOA1,B2M,0.913,Alzheimer's Disease
APOA1,CPX-5381,0.957,Alzheimer's Disease
APOA1,CPX-1062,0.982,Alzheimer's Disease
APOA1,ABCA7,0.992,Alzheimer's Disease
APOA1,ALB,0.998,Alzheimer's Disease
APOA1,APOE,0.999,Alzheimer's Disease
TARDBP,DNM1L,0.4,Alzheimer's Disease
TARDBP,BCHE,0.401,Alzheimer's Disease
TARDBP,ACHE,0.406,Alzheimer's Disease
TARDBP,SYN1,0.412,Alzheimer's Disease
TARDBP,CDK5,0.422,Alzheimer's Disease
TARDBP,MAOB,0.422,Alzheimer's Disease
TARDBP,HSPB1,0.429,Alzheimer's Disease
TARDBP,DYRK1A,0.429,Alzheimer's Disease
TARDBP,HSPA5,0.443,Alzheimer's Disease
TARDBP,CHAT,0.443,Alzheimer's Disease
TARDBP,GSK3B,0.447,Alzheimer's Disease
TARDBP,PLP1,0.454,Alzheimer's Disease
TARDBP,TTBK1,0.46,Alzheimer's Disease
TARDBP,ATP13A2,0.462,Alzheimer's Disease
TARDBP,CPX-873,0.464,Alzheimer's Disease
TARDBP,CPX-7842,0.476,Alzheimer's Disease
TARDBP,RD3,0.479,Alzheimer's Disease
TARDBP,CPX-7906,0.487,Alzheimer's Disease
TARDBP,BACE1,0.488,Alzheimer's Disease
TARDBP,DNAJA1,0.495,Alzheimer's Disease
TARDBP,CA4,0.506,Alzheimer's Disease
TARDBP,TUBB,0.512,Alzheimer's Disease
TARDBP,WWOX,0.52,Alzheimer's Disease
TARDBP,CPX-1164,0.529,Alzheimer's Disease
TARDBP,TUBA4A,0.533,Alzheimer's Disease
TARDBP,CPX-3285,0.535,Alzheimer's Disease
TARDBP,MAP1B,0.543,Alzheimer's Disease
TARDBP,PHGDH,0.548,Alzheimer's Disease
TARDBP,CPX-8767,0.552,Alzheimer's Disease
TARDBP,P4HB,0.552,Alzheimer's Disease
TARDBP,PARK7,0.559,Alzheimer's Disease
TARDBP,TREM2,0.58,Alzheimer's Disease
TARDBP,MBP,0.591,Alzheimer's Disease
TARDBP,CPX-2204,0.602,Alzheimer's Disease
TARDBP,CPX-943,0.607,Alzheimer's Disease
TARDBP,PINK1,0.609,Alzheimer's Disease
TARDBP,ATXN3,0.614,Alzheimer's Disease
TARDBP,GFAP,0.616,Alzheimer's Disease
TARDBP,CPX-2476,0.627,Alzheimer's Disease
TARDBP,CPX-4231,0.634,Alzheimer's Disease
TARDBP,SMN2,0.656,Alzheimer's Disease
TARDBP,CPX-6123,0.658,Alzheimer's Disease
TARDBP,KIF5A,0.659,Alzheimer's Disease
TARDBP,APOE,0.667,Alzheimer's Disease
TARDBP,CPX-2176,0.702,Alzheimer's Disease
TARDBP,CHCHD10,0.715,Alzheimer's Disease
TARDBP,SLC1A2,0.719,Alzheimer's Disease
